genotype,replicate,treatment,1st,2nd,3rd,4th,germ.rate
1,1,C,8,9,9,9,100
1,2,C,5,7,8,8,88.89
1,3,C,8,8,8,8,88.89
1,4,C,5,6,6,6,66.67
1,5,C,7,9,9,9,100
1,1,H,2,3,3,3,33.33
1,2,H,5,6,7,7,77.78
1,3,H,6,7,7,7,77.78
1,4,H,7,9,9,9,100
1,5,H,6,7,7,8,88.89
8,1,C,9,9,9,9,100
8,2,C,9,9,9,9,100
8,3,C,9,9,9,9,100
8,4,C,9,9,9,9,100
8,5,C,6,8,9,9,100
8,1,H,2,3,3,3,33.33
8,2,H,8,8,8,8,88.89
8,3,H,9,9,9,9,100
8,4,H,9,9,9,9,100
8,5,H,9,9,9,9,100
25,1,C,9,9,9,9,100
25,2,C,9,9,9,9,100
25,3,C,9,9,9,9,100
25,4,C,9,9,9,9,100
25,5,C,9,9,9,9,100
25,1,H,8,8,8,8,88.89
25,2,H,9,9,9,9,100
25,3,H,9,9,9,9,100
25,4,H,9,9,9,9,100
25,5,H,9,9,9,9,100
31,1,C,9,9,9,9,100
31,2,C,8,9,8,9,100
31,3,C,9,9,9,9,100
31,4,C,9,9,9,9,100
31,5,C,9,9,9,9,100
31,1,H,9,9,9,9,100
31,2,H,9,9,9,9,100
31,3,H,9,9,9,9,100
31,4,H,9,9,9,9,100
31,5,H,8,8,8,8,88.89
40,1,C,8,9,9,9,100
40,2,C,8,9,9,9,100
40,3,C,7,8,9,9,100
40,4,C,6,8,9,9,100
40,5,C,8,9,8,8,88.89
40,1,H,8,9,9,5,55.56
40,2,H,7,9,9,9,100
40,3,H,9,9,9,9,100
40,4,H,6,8,9,9,100
40,5,H,8,9,9,8,88.89
52,1,C,9,9,9,9,100
52,2,C,9,9,9,9,100
52,3,C,9,9,9,9,100
52,4,C,9,9,9,9,100
52,5,C,8,8,8,8,88.89
52,1,H,9,9,9,9,100
52,2,H,9,9,9,9,100
52,3,H,9,9,9,9,100
52,4,H,9,9,9,9,100
52,5,H,9,9,9,9,100
56,1,C,9,9,9,9,100
56,2,C,9,9,9,9,100
56,3,C,9,9,9,9,100
56,4,C,8,8,8,8,88.89
56,5,C,9,9,9,9,100
56,1,H,9,9,9,9,100
56,2,H,9,9,9,9,100
56,3,H,9,9,9,9,100
56,4,H,9,9,9,9,100
56,5,H,9,9,9,9,100
59,1,C,9,9,9,9,100
59,2,C,9,9,9,9,100
59,4,C,9,9,9,9,100
59,5,C,9,9,9,9,100
59,1,H,9,9,9,9,100
59,2,H,9,9,9,9,100
59,3,H,9,9,9,9,100
59,4,H,9,9,9,9,100
59,5,H,9,9,9,9,100
64,1,C,9,9,9,9,100
64,2,C,8,9,9,9,100
64,3,C,8,9,9,9,100
64,4,C,9,9,9,9,100
64,5,C,8,9,9,9,100
64,1,H,7,9,9,9,100
64,2,H,6,7,8,8,88.89
64,3,H,7,9,9,9,100
64,4,H,9,9,9,8,88.89
64,5,H,8,8,8,8,88.89
68,1,C,9,9,9,9,100
68,2,C,9,9,9,8,88.89
68,3,C,8,8,8,8,88.89
68,4,C,9,9,9,9,100
68,5,C,9,9,9,9,100
68,1,H,9,9,9,9,100
68,2,H,9,9,9,9,100
68,3,H,9,9,9,9,100
68,4,H,9,9,9,9,100
68,5,H,9,9,9,9,100
71,1,C,9,9,9,9,100
71,2,C,9,9,9,9,100
71,3,C,9,9,9,9,100
71,4,C,9,9,9,9,100
71,5,C,9,9,9,9,100
71,1,H,9,9,9,9,100
71,2,H,8,8,8,8,88.89
71,3,H,9,9,9,9,100
71,4,H,9,9,9,9,100
71,5,H,9,9,9,9,100
82,1,C,9,9,9,9,100
82,2,C,9,9,9,9,100
82,3,C,9,9,9,9,100
82,4,C,9,9,9,9,100
82,5,C,9,9,9,9,100
82,1,H,9,9,9,9,100
82,2,H,9,9,9,9,100
82,3,H,9,9,9,9,100
82,4,H,8,8,9,9,100
82,5,H,9,9,9,9,100
83,1,C,8,9,9,9,100
83,2,C,9,9,9,9,100
83,3,C,8,8,8,8,88.89
83,4,C,9,9,9,9,100
83,5,C,9,9,9,9,100
83,1,H,8,9,9,9,100
83,2,H,9,9,9,9,100
83,3,H,8,8,8,8,88.89
83,4,H,9,9,9,9,100
83,5,H,9,9,9,9,100
84,1,C,8,8,9,9,100
84,2,C,9,9,9,9,100
84,3,C,8,9,9,9,100
84,4,C,8,9,9,9,100
84,5,C,9,9,9,9,100
84,1,H,7,9,9,9,100
84,2,H,6,9,9,9,100
84,3,H,8,9,9,9,100
84,4,H,9,9,9,9,100
84,5,H,7,8,9,9,100
94,1,C,9,9,9,9,100
94,2,C,9,9,9,9,100
94,3,C,9,9,9,9,100
94,4,C,9,9,9,9,100
94,5,C,9,9,9,9,100
94,1,H,9,9,9,9,100
94,2,H,9,9,9,9,100
94,3,H,9,9,9,9,100
94,4,H,9,9,9,9,100
94,5,H,9,9,9,9,100
95,1,C,9,9,9,9,100
95,2,C,9,9,9,9,100
95,3,C,8,9,9,9,100
95,4,C,9,9,9,9,100
95,5,C,9,9,9,9,100
95,1,H,8,8,8,8,88.89
95,2,H,9,9,9,9,100
95,3,H,9,9,9,9,100
95,4,H,9,9,9,9,100
95,5,H,9,9,9,9,100
99,1,C,9,9,9,9,100
99,2,C,9,9,9,8,88.89
99,3,C,9,9,9,9,100
99,4,C,9,9,9,9,100
99,5,C,9,9,9,9,100
99,1,H,9,9,9,9,100
99,2,H,9,9,9,9,100
99,3,H,9,9,9,9,100
99,4,H,9,9,9,9,100
99,5,H,9,9,9,9,100
109,1,C,9,9,9,9,100
109,2,C,9,9,9,9,100
109,3,C,9,9,9,9,100
109,4,C,9,9,9,9,100
109,5,C,8,8,8,8,88.89
109,1,H,9,9,9,9,100
109,2,H,9,9,9,9,100
109,3,H,9,9,9,9,100
109,4,H,9,9,9,9,100
109,5,H,9,9,9,9,100
