genotype,replicate,treatment,no.seedling,germ.rate
1,1,C,8,88.89
1,2,C,7,77.78
1,3,C,7,77.78
1,4,C,6,66.67
1,5,C,8,88.89
1,1,W,7,77.78
1,2,W,9,100
1,3,W,7,77.78
1,4,W,7,77.78
1,5,W,8,88.89
8,1,C,9,100
8,2,C,9,100
8,3,C,9,100
8,4,C,9,100
8,5,C,9,100
8,1,W,9,100
8,2,W,9,100
8,3,W,9,100
8,4,W,9,100
8,5,W,4,44.44
25,1,C,9,100
25,2,C,9,100
25,3,C,9,100
25,4,C,9,100
25,5,C,8,88.89
25,1,W,8,88.89
25,2,W,9,100
25,3,W,9,100
25,4,W,9,100
25,5,W,9,100
31,1,C,9,100
31,2,C,9,100
31,3,C,9,100
31,4,C,9,100
31,5,C,9,100
31,1,W,9,100
31,2,W,9,100
31,3,W,9,100
31,4,W,9,100
31,5,W,9,100
40,1,C,9,100
40,2,C,7,77.78
40,3,C,9,100
40,4,C,9,100
40,5,C,9,100
40,1,W,9,100
40,2,W,8,88.89
40,3,W,9,100
40,4,W,8,88.89
40,5,W,9,100
52,1,C,9,100
52,2,C,9,100
52,3,C,9,100
52,4,C,8,88.89
52,5,C,8,88.89
52,1,W,9,100
52,2,W,9,100
52,3,W,9,100
52,4,W,9,100
52,5,W,8,88.89
56,1,C,9,100
56,2,C,9,100
56,3,C,9,100
56,4,C,9,100
56,5,C,8,88.89
56,1,W,9,100
56,2,W,9,100
56,3,W,9,100
56,4,W,9,100
56,5,W,9,100
59,1,C,9,100
59,2,C,9,100
59,3,C,9,100
59,4,C,9,100
59,5,C,9,100
59,1,W,9,100
59,2,W,9,100
59,3,W,9,100
59,4,W,9,100
59,5,W,9,100
64,1,C,9,100
64,2,C,8,88.89
64,3,C,9,100
64,4,C,9,100
64,5,C,9,100
64,1,W,9,100
64,2,W,9,100
64,3,W,9,100
64,4,W,8,88.89
64,5,W,9,100
68,1,C,9,100
68,2,C,9,100
68,3,C,9,100
68,4,C,9,100
68,5,C,9,100
68,1,W,9,100
68,2,W,9,100
68,3,W,6,66.67
68,4,W,9,100
68,5,W,9,100
71,1,C,9,100
71,2,C,9,100
71,3,C,9,100
71,4,C,9,100
71,5,C,9,100
71,1,W,9,100
71,2,W,9,100
71,3,W,9,100
71,4,W,9,100
71,5,W,9,100
82,1,C,8,88.89
82,2,C,9,100
82,3,C,9,100
82,4,C,9,100
82,5,C,9,100
82,1,W,9,100
82,2,W,9,100
82,3,W,9,100
82,4,W,9,100
82,5,W,9,100
83,1,C,9,100
83,2,C,9,100
83,3,C,9,100
83,4,C,9,100
83,5,C,8,88.89
83,1,W,9,100
83,2,W,9,100
83,3,W,9,100
83,4,W,9,100
83,5,W,9,100
84,1,C,9,100
84,2,C,9,100
84,3,C,9,100
84,4,C,9,100
84,5,C,9,100
84,1,W,9,100
84,2,W,9,100
84,3,W,9,100
84,4,W,9,100
84,5,W,9,100
94,1,C,8,88.89
94,2,C,7,77.78
94,3,C,8,88.89
94,4,C,9,100
94,5,C,9,100
94,1,W,9,100
94,2,W,9,100
94,3,W,9,100
94,4,W,9,100
94,5,W,9,100
95,1,C,9,100
95,2,C,9,100
95,3,C,9,100
95,4,C,9,100
95,5,C,9,100
95,1,W,9,100
95,2,W,9,100
95,3,W,8,88.89
95,4,W,9,100
95,5,W,9,100
99,1,C,9,100
99,2,C,6,66.67
99,3,C,9,100
99,4,C,9,100
99,5,C,9,100
99,1,W,9,100
99,2,W,9,100
99,3,W,9,100
99,4,W,9,100
99,5,W,9,100
109,1,C,9,100
109,2,C,9,100
109,3,C,9,100
109,4,C,9,100
109,5,C,9,100
109,1,W,9,100
109,2,W,9,100
109,3,W,9,100
109,4,W,9,100
109,5,W,9,100
