genotype,d50,d100,d200,d400,d800,d1600,d2400,d3200
1,46.05403659,40.39765831,32.52333175,33.87796788,32.37207417,28.09635977,27.63927838,23.63576557
8,42.411428,39.12950704,36.20816605,31.78268247,33.76763107,31.54641312,29.81422436,24.71336229
25,26.90081791,23.61109489,28.55881524,24.74925351,32.47580653,25.76982667,23.57963824,22.14528832
31,22.59932158,21.32388841,19.77293326,25.5311256,25.9998656,21.43055909,19.01685772,18.50820282
40,6.096271504,12.18784391,8.029039255,10.71313538,16.04802901,15.97603493,15.90735016,16.64508293
52,4.27478516,16.6912811,10.53056172,5.152409045,2.686733162,7.506122924,12.53047065,15.55043608
56,35.63553795,37.44471047,28.14368368,26.32102528,30.28926966,28.45744063,26.36723555,23.13520708
59,26.30368426,25.2521826,28.63751293,38.36777477,34.92279896,37.85546084,31.43372474,26.02266148
64,35.66403053,39.34834239,43.5782342,46.91710896,45.00988209,37.16089945,32.16543246,26.65226836
68,41.18141518,42.16324088,49.27166155,55.34574846,49.92662364,38.4193497,33.15237861,26.31395225
71,45.04719253,46.57500951,39.1330443,34.81914099,39.20307872,29.78350306,25.98066138,22.43166185
82,5.840080279,8.136677254,13.12068006,16.96511481,14.90884682,16.25594597,13.89116107,14.5228086
83,19.021668,18.53659561,20.35741481,16.3314858,12.19307007,17.01581981,19.55666364,18.26952554
84,10.47400495,13.10296201,17.2205992,15.99685299,11.53946932,12.98573672,13.7137495,14.08220931
94,20.52649409,30.07682335,33.70865834,33.57178934,26.13956743,19.19720063,16.51780368,16.26273941
95,35.36913583,25.48914751,21.93551704,21.42868405,22.30593525,16.54217752,13.96946801,14.3185773
99,19.79573854,20.231099,20.00490338,24.60003286,25.66819581,23.76280509,21.82864105,20.84887336
109,0,0,0,1.18559205,2.089402305,6.475184558,11.15379983,12.13285615
