genotype,treatment,replicate,no.survival,no.leaf,AG.biomass
1,C,1,2,10,0.002075
1,C,2,4,10.5,0.001531
1,C,3,2,12,0.00265
1,C,4,2,11,0.0018
1,C,5,3,10,0.000889
1,W,1,3,12.33,0.002211
1,W,2,3,13.67,0.002856
1,W,3,3,12,0.0019
1,W,4,3,11.33,0.001256
1,W,5,1,6,0.0001
8,C,1,2,9,0.00085
8,C,2,1,6,0.0001
8,C,3,2,6,0.0001
8,C,4,1,10,0.0009
8,C,5,2,6.5,0.000525
8,W,1,0,0,0
8,W,2,3,15.33,0.004033
8,W,3,0,0,0
8,W,4,3,13.33,0.002256
8,W,5,0,0,0
25,C,1,0,0,0
25,C,2,1,11,0.0039
25,C,3,0,0,0
25,C,4,0,0,0
25,C,5,0,0,0
25,W,1,0,0,0
25,W,2,2,10.5,0.0012
25,W,3,0,0,0
25,W,4,1,7,0.0003
25,W,5,1,15,0.0051
31,C,1,2,8.5,0.0003
31,C,2,0,0,0
31,C,3,1,10,0.0008
31,C,4,0,0,0
31,C,5,1,7,0.0003
31,W,1,1,11,0.0007
31,W,2,2,13,0.0016
31,W,3,3,11,0.000744
31,W,4,0,0,0
31,W,5,2,11.5,0.0005
40,C,1,1,10,0.0012
40,C,2,0,0,0
40,C,3,1,9,0.0007
40,C,4,2,7,0.0004
40,C,5,0,0,0
40,W,1,1,6,0.0001
40,W,2,0,0,0
40,W,3,1,11,0.0008
40,W,4,2,9.5,0.00055
40,W,5,1,10,0.0005
52,C,1,1,10,0.0009
52,C,2,3,9.33,0.001567
52,C,3,3,9.67,0.001944
52,C,4,3,10.67,0.002867
52,C,5,1,10,0.0026
52,W,1,3,11.33,0.002567
52,W,2,3,13.33,0.005656
52,W,3,3,12,0.007767
52,W,4,3,11.67,0.007122
52,W,5,3,12,0.002944
56,C,1,2,14.5,0.005525
56,C,2,3,13,0.002656
56,C,3,3,9.67,0.001133
56,C,4,3,12.67,0.003967
56,C,5,3,14.67,0.005322
56,W,1,3,12.67,0.002267
56,W,2,3,13.33,0.001944
56,W,3,3,13.67,0.002789
56,W,4,3,11.33,0.001111
56,W,5,3,13.33,0.002033
59,C,1,2,10.5,0.0026
59,C,2,0,0,0
59,C,3,1,11,0.002
59,C,4,0,0,0
59,C,5,0,0,0
59,W,1,0,0,0
59,W,2,1,11,0.0009
59,W,3,0,0,0
59,W,4,1,11,0.0006
59,W,5,0,0,0
64,C,1,0,0,0
64,C,2,3,7.33,0.0008
64,C,3,0,0,0
64,C,4,0,0,0
64,C,5,3,10.33,0.003411
64,W,1,3,15.67,0.008467
64,W,2,3,15.33,0.0045
64,W,3,3,16.67,0.010222
64,W,4,3,16,0.009633
64,W,5,3,14.67,0.004311
68,C,1,1,4,0.0001
68,C,2,0,0,0
68,C,3,0,0,0
68,C,4,0,0,0
68,C,5,0,0,0
68,W,1,1,12,0.0026
68,W,2,0,0,0.006925
68,W,3,1,16,0.0071
68,W,4,3,10.33,0.0007
68,W,5,0,0,0
71,C,1,3,10.33,0.001011
71,C,2,3,9,0.000656
71,C,3,2,10.5,0.00125
71,C,4,2,10.5,0.00145
71,C,5,3,10.67,0.001167
71,W,1,2,12.5,0.00115
71,W,2,2,12.5,0.001275
71,W,3,3,13.33,0.001144
71,W,4,3,13.67,0.001267
71,W,5,3,14.67,0.002711
82,C,1,0,0,0
82,C,2,1,9,0.0005
82,C,3,0,0,0
82,C,4,0,0,0
82,C,5,0,0,0
82,W,1,0,0,0
82,W,2,0,0,0
82,W,3,0,0,0
82,W,4,0,0,0
82,W,5,0,0,0
83,C,1,0,0,0
83,C,2,0,0,0
83,C,3,3,8.67,0.000344
83,C,4,2,7,0.0001
83,C,5,3,7.33,0.000267
83,W,1,2,10,0.0006
83,W,2,2,14,0.003075
83,W,3,2,13,0.001675
83,W,4,3,12.33,0.002911
83,W,5,3,12.33,0.001789
84,C,1,1,10,0.0007
84,C,2,2,10.5,0.001675
84,C,3,1,8,0.0005
84,C,4,0,0,0
84,C,5,0,0,0
84,W,1,2,12,0.000875
84,W,2,0,0,0
84,W,3,0,0,0
84,W,4,0,0,0
84,W,5,0,0,0
94,C,1,0,0,0
94,C,2,2,6.5,0.000125
94,C,3,3,8,0.000567
94,C,4,0,0,0
94,C,5,1,10,0.0013
94,W,1,1,8,0.0002
94,W,2,2,12.5,0.002275
94,W,3,3,9.33,0.000667
94,W,4,3,14.67,0.006267
94,W,5,3,13.67,0.009967
95,C,1,1,11,0.0016
95,C,2,3,9.67,0.000978
95,C,3,1,8,0.0004
95,C,4,0,0,0
95,C,5,2,9,0.0006
95,W,1,1,11,0.001
95,W,2,3,12,0.001178
95,W,3,2,9,0.00035
95,W,4,3,10.67,0.000367
95,W,5,1,8,0.0002
99,C,1,2,12,0.001
99,C,2,2,8,0.0002
99,C,3,1,11,0.0009
99,C,4,1,6,0.0001
99,C,5,1,13,0.0038
99,W,1,0,0,0
99,W,2,3,20,0.005322
99,W,3,2,10.5,0.0004
99,W,4,1,14,0.0017
99,W,5,3,10.67,0.000444
109,C,1,2,9,0.00145
109,C,2,0,0,0
109,C,3,0,0,0
109,C,4,0,0,0
109,C,5,0,0,0
109,W,1,3,14,0.0025
109,W,2,0,0,0
109,W,3,1,13,0.0015
109,W,4,0,0,0
109,W,5,0,0,0
